object_id,name,latitude,longitude,address,facebook_url
43,"Івано-Франківськ 2-га церква",48.946310,24.694030,,
44,"Івано-Франківськ 1-ша церква",48.920760,24.742330,,
111,"Тернопіль",49.563270,25.593760,,
145,"Дніпро 1-ша церква",48.445670,34.959490,,
146,"Дніпро 2-га церква",48.4580416,35.0019134,,
147,"Дніпро 5-та церква",48.4580416,35.0019134,,
148,"Дніпро 13-та церква",48.4580416,35.0019134,,
149,"Дніпро 3-тя церква",48.5084692,35.0645214,,
150,"Дніпро 4-та церква",48.46471700,35.04618300,,
151,"Дніпро 6-та церква",48.4203558,35.0015131,,
152,"Дніпро 11-та церква",48.4203558,35.0015131,,
153,"Дніпро 14-та церква",48.4203558,35.0015131,,
154,"Дніпро 17-та церква",48.4203558,35.0015131,,
155,"Дніпро 7-ма церква",48.4766397,34.928629,,
156,"Дніпро 8-ма церква",48.4818849,35.1944082,,
157,"Дніпро 9-та церква",48.5017748,35.0062511,,
159,"Дніпро 15-та церква",48.4486144,35.0142044,,
160,"Дніпро 16-та церква",48.46471700,35.04618300,,
221,"Харків 1-ша церква",50.0470522,36.1976404,,
222,"Харків 2-га церква",49.9762453,36.2230895,,
223,"Харків 3-тя церква",50.0019798,36.3166295,,
224,"Харків 8-ма церква",50.0019798,36.3166295,,
225,"Харків 4-та церква",49.9539155,36.3635552,,
226,"Харків 7-ма церква",49.9539155,36.3635552,,
227,"Харків 10-та церква",49.9539155,36.3635552,,
228,"Харків 5-та церква",49.9992119,36.2421289,,
229,"Харків 9-та церква",49.9450848,36.2922234,,
230,"Харків 11-та церква",50.0132641,36.2191032,,
277,"Кропивницький 1-ша церква",48.50793300,32.26231700,,
278,"Кропивницький 2-га церква",48.5002551,32.2573889,,
279,"Кропивницький 4-га церква",48.5073776,32.25987,,
427,"Луцьк 1-ша церква",50.7419858,25.2792952,"Україна, Волинська область, Луцьк, вул. Володимирська, 89","https://www.facebook.com/sdalutsk1"
428,"Луцьк 2-га церква",50.777071,25.3808863,,"https://www.facebook.com/kovcheglutsk"
429,"Луцьк 3-га церква",50.7419858,25.2792952,"Україна, Волинська область, Луцьк, вул. Володимирська, 89","https://www.facebook.com/adventlutsk"
484,"Ужгород 1-ша церква",48.6209843,22.2849907,,
485,"Ужгород 2-га церква",48.608673,22.270944,,
527,"Вінниця 1-ша церква",49.2260122,28.4922278,,
528,"Вінниця 2-га церква",49.2482469,28.4713227,,
529,"Вінниця 4-та церква",49.2265457,28.4287309,,
530,"Вінниця 5-та церква",49.2311091,28.5295941,,
531,"Вінниця - Центральна",49.2265457,28.4287309,,
544,"Житомир 1-ша церква",50.2795114,28.7151952,,
545,"Житомир 2-га церква",50.2621683,28.6718475,,
546,"Житомир 3-тя церква",50.2475702,28.6847863,,
547,"Житомир 4-тя церква",50.25465000,28.65866690,,
744,"Переяслав-Хмельницький",50.07158320,31.45015430,,
862,"Херсон 1-ша церква",46.631506,32.5879431,,
863,"Херсон 2-га церква",46.6447566,32.6016425,,
864,"Херсон 3-тя церква",46.6759252,32.6104549,,
114,"Чернівці - Жучка",48.2797562,25.924483,,
115,"Чернівці - Роша",48.2842844,25.8930157,,
116,"Чернівці - Руська",48.2764692,25.9836163,,
117,"Чернівці - Садгора",48.3442874,25.9554991,,
118,"Чернівці - Садова",48.2813291,25.933211,,
119,"Чернівці - Центр",48.2927418,25.9376926,,
120,"Чернівці - Південна",48.2680144,25.9413527,,
121,"Чернівці 7-ма церква",48.2942639,25.9226812,,
122,"Чернівці 9-та церква",48.29207870,25.93583670,,
841,"Одеса Південна",46.4752419,30.7165298,,
842,"Центральна церква Одеси",46.4764055,30.7151178,,
843,"Одеса 3-тя церква",46.5716643,30.7826852,,
844,"Одеса 4-та церква",46.4237126,30.7101326,,
845,"Одеса 6-та церква",46.48252600,30.72330950,,
846,"Одеса 7-ма церква",46.3477065,30.699783,,
847,"Одеса 8-ма церква",46.4769795,30.7268482,,
431,"Львів 1-ша церква",49.8282068,23.9757753,,"https://www.facebook.com/ASDLviv1"
431,"Львів 2-ша церква",49.8422181,24.0389965,,
760,"Срібне",50.66163210,32.92081910,"Чернігівська обл., Срібне, вул. Сонячна 33",
710,"Гоголів",50.50929700,31.01605710,"Київська обл., Броварський р-н., Гоголів, вул. Носовградська, 8А",
